label,lat,lon,
compNorth,42.6682837222,-83.2193403028,
compNorth,42.6681206444,-83.2193606083,
compNorth,42.66809863885,-83.2193606083,
compNorth,42.6680766333,-83.2193606083,
compNorth,42.6679277056,-83.2193276417,
compNorth,42.6679817056,-83.2193316417,
compNorth,42.66794,-83.2189,
compNorth,42.6681268,-83.218887,
compSouth,42.6679277056,-83.2193276417,
compSouth,42.6680766333,-83.2193591583,
compSouth,42.6681206444,-83.2193606083,
compSouth,42.6682837222,-83.2193403028,
compSouth,42.668290020,-83.2189080,
compSouth,42.6681268,-83.218887,